Mã CK ,Sàn ,Ngành ,Cơ Cấu Thu Nhập,Đầu Vào,Sản Xuất,Đầu Ra,Khác
HPG,HOSE,Kim loại và khai thác,"Doanh thu bán hàng (2022)
• Các sản phẩm thép (94,7%)
• Nông nghiệp (4,51%)
• Bất động sản (0,79%).

Cơ cấu doanh thu theo thị trường (2022)
• Nội địa (78%)
• Xuất khẩu (22%).","Với công nghệ sản xuất chính là BOF. HPG có cơ cấu giá vốn ước tính như sau:
• Quặng sắt (29%).
• Than cốc (25%).
• Thép phế (8%).
• Gas (6%).
• Điện (6%).
• Công nhân (5%).
• Khác (21%).
Nhu cầu quặng sắt mỗi năm của HPG khoảng 10 triệu tấn/năm. Trong năm 2022 sản lượng quặng sắt tự khai thác của HPG đạt 365.000 tấn.","Số lao động (31/12/2022) 28.535 người (+3% yoy)
Công suất sản xuất sản xuất thép
Khu liên hợp sản xuất gang thép Hòa Phát Dung Quất – giai đoạn 1:
• 3 triệu tấn thép HRC năm/năm, 200.000 tấn thép dự ứng lực/năm.
• Hệ thống cảng nước sâu gồm 11 bến, cho phép tàu trọng tải 200.000 tấn cập bến.

Các nhà máy khác:
• Khu liên hợp gang thép Hòa Phát Hải Dương: 2,5 triệu tấn/năm.
• Nhà máy thép Bình Dương: 2,7 triệu tấn/năm.
• Nhà máy ống thép Bình Dương: 180.000 tấn/năm.
• Nhà máy ống thép Long An: 100.000 tấn/năm.
• Nhà máy ống thép Đà Nẵng: 150.000 tấn/năm.
• Nhà máy ông thép Hòa Phát Hưng Yên: 400.000 tấn/năm.
• Công suất nhà máy tôn mạ Hưng Yên công suất 400.000 tấn/năm.

Đội tàu của HPG
Gồm 3 tàu biển Kamsarmax có tổng tải trọng lớn (90.000 tấn/tàu) và trẻ nhất Việt Nam, năng lực vận chuyển trên 2 triệu tấn/năm.

Mỏ quặng sắt Roper Valley (HPG mua lại 2021)
Trữ lượng ước tính đạt 320 triệu tấn và công suất khai thác 4 triệu tấn/năm.

Nông nghiệp Hòa Phát
Sản lượng heo các loại đạt gần 450.000 con/năm, trứng gà bán 270 triệu quả/năm, dẫn đầu miền Bắc.

Nhà máy mới trong năm 2022
Cuối năm 2022 HPG đưa vào nhà máy Nhà máy sản xuất container tại Bà Rịa-Vũng Tàu, công suất 200.000 TEU/năm.
Tháng 9 2022 nhà máy sản xuất Đồ gia dụng tại Hà Nam đi vào hoạt động.
","Thép
Sản lượng sản xuất (2022)
• Thép xây dựng: 4,2 triệu tấn. (10% yoy).
• HRC: 2,6 triệu tấn. (-13.3% yoy)
• Ống thép: 750.000 tấn (+10,9% yoy).

Thị phần của HPG về các sản phẩm thép (2022)
• Thép xây dựng: 35% (Top1).
Ống thép: 28,5% (Top1).
• HRC: 42,4% (Top1).
• Tôn mạ: 8% (Top5).

Bất động sản
• Hoà Phát hiện đang sở hữu và vận hành 3 KCN, bao gồm: KCN Phố Nối A - 688 ha (Hưng Yên), KCN Hòa Mạc - 131ha (Hà Nam), KCN Yên Mỹ II - 313 ha (Hưng Yên), tỷ lệ lấp đầy 100%.
• Tháng 5/2022, Dự án KCN Yên Mỹ II mở rộng được chấp thuận chủ trương đầu tư, có quy mô 216ha với tổng mức đầu tư dự kiến hơn 2.682 tỷ đồng.

Nông nghiệp
Sản lượng heo các loại đạt 404.000 con; trứng gà bán 850.000 quả/ngày, dẫn đầu miền Bắc.","Tầm nhìn - Sứ mệnh
• Trở thành Tập đoàn sản xuất công nghiệp với chất lượng dẫn đầu, trong đó Thép là lĩnh vực cốt lõi.

Chiến lược cho 2023 và giai đoạn tới
HPG đặt mục tiêu doanh thu 150,000 tỷ đồng và LNST 8,000 tỷ đồng.
Mảng thép
• Công ty sẽ tạm dừng đầu tư tại Úc, tập trung vào dự án Dung Quất 2.
• HPG sẽ vận hành lại lò cao thứ 2 vào đầu tháng 4. Hai lò cao còn lại sẽ được nối lại vào 2Q23.
• Hòa Phát sẽ quyết tâm chuyển đổi sang sản xuất thép chất lượng cao.

Mảng Bất Động Sản
• Triển khai các dự án Bất động sản với tâm thế thận trọng, Các dự án Forestar Hưng Yên, Phố Nối về cơ bản hạ tầng đã được đầu tư ở mức tương đối tốt, tuy nhiên đang gặp phải khó khăn ở các hồ sơ pháp lý.
• HPG hiện đang vận hành 4 KCN và đang xin triển khai thêm 4-6 KCN nữa trong giai đoạn từ nay tới 2030.

Mảng Kinh doanh khác
• Mục tiêu doanh số 1 tỷ đô cho điện máy gia dụng sẽ không thay đổi nhưng cũng là thách thức. Chúng ta không thể “nói mồm” để đạt mục tiêu mà đã xây dựng nhà máy ở Phú Mỹ - có thể nói là nhà máy hiện đại nhất nhì Đông Nam Á. Hiện đang hoàn thiện trung tâm sản xuất lớn ở Hà Nam và 1 điểm nữa. Tiến độ vẫn theo kế hoạch dù rất thách thức để đạt được vào năm 2030 nhưng cứ làm thôi chứ không có gì lo sợ cả. (Ông Trịnh Đình Long chia sẻ trong ĐHCĐ 2023).
• Về mảng container, hết tháng 4 Hòa Phát sẽ hoàn thiện khâu cuối cùng. Đó là mặt hàng đặc thù, yêu cầu rất lớn về tiêu chuẩn chất lượng để được cấp chứng chỉ. Tháng 5, 6 Hòa Phát sẽ hoàn thiện thủ tục lắp đặt, giấy chứng
nhận và đi vào sản xuất thử.
• Dự án Khu liên hợp sản xuất gang thép Hòa Phát Dung Quất 2
• Tập trung sản xuất thép cuộn cán nóng với công suất 5,6 triệu tấn/năm."
HTN,HOSE,Kỹ thuật xây dựng,"Cơ cấu doanh thu (2022)
Dịch vụ xây dựng (99,32%), Dịch vụ khác(0,66%), Kinh doanh BĐS đầu tư (0,02%).",(No data),(No data),"Backlog của HTN (2023)
Merry Land Quy Nhơn
• Backlog: 12.314 tỷ đồng.
• Tình trạng: Đang triển khai.
Hanoi Melody Residences
• Backlog: 2.847 tỷ đồng.
• Tình trạng: Đang triển khai.
Ho Tram Complex
• Backlog: 2.313 tỷ đồng.
Tình trạng: Chưa triển khai.
Angel Islan
• Backlog: 2.038 tỷ đồng.
• Tình trạng: Chưa triển khai.
Biên Hòa Universe Complex
• Backlog: 1.852 tỷ đồng.
• Tình trạng: Đang triển khai.
Moonlight Centre Point
• Backlog: 1.544 tỷ đồng.
• Tình trạng: Chưa triển khai.
New Galaxy Nha Trang
• Backlog: 1.446 tỷ đồng.
• Tình trạng: Đang triển khai.
Và các dự án nhỏ khác: Grand Center Quy Nhơn, Quy Nhon Melody ...",(No data)
HTP,HNX,Dịch vụ và nguồn cung cấp thương mại,"Cơ cấu doanh thu và lợi nhuận gộp theo sản phẩm (2022)
Quản lý dự án Bất động sản
• Doanh thu: 64%.
• Lợi nhuận gộp: 69%.
Môi giới Bất động sản
• Doanh thu: 25%.
• Lợi nhuận gộp: 22%.
Dịch vụ In
• Doanh thu: 11%.
• Lợi nhuận gộp: 9%.",(No data),(No data),"Mȧng in ấn
Ngành nghề kinh doanh chính của HTP là in ấn sách giáo khoa nên hoạt động của
công ty có tính mùa vụ.
Tập trung từ tháng 12 năm trước và kết thúc vào khoảng tháng 6 năm sau.
Từ tháng 7 đến tháng 11, công tu tập trung khai thác in các tạp chí, tờ rơi và các ấn
phẩm khác.
In Hòa Phát định hướng trở thành một trong những Nhà phát triển Bất
động sản, cung cấp dịch vụ bất động sản, thương mại hàng đầu trên thị
trường.
HTP thực hiện mua lại 75,8 triệu cổ phiếu để tăng tỷ lệ sở hữu tại công ty cổ phần
Hưng Vượng Developer với tài sản trọng yếu là 60% công ty cổ phần Thương mại và
Dịch vụ Danh Việt - chủ đầu tư dự án ""Khu du lịch sinh thái biển cao cấp Lạc Việt ( dự
án Venezia Beach) xã Thắng Hải, huyện Hàm Tân, tỉnh Bình Thuận.
Vị trí: Cung đường resort triệu đô Hồ Tràm – Bình Châu. Doanh thu dự kiến mang lại từ
dự án 30.000 tỷ VND.
Dự án có quy mô 72ha, gồm các sản phẩm mặt tiền biển sở hữu lâu dài, trong đó:
• 681 sản phẩm thấp tầng.
• 6 blocks căn hộ khoảng 3.000 sản phẩm.
Bên cạnh đó, xét thấy tiềm năng phát triển của dự án HODOTA có vị trí giáp ranh phía
Tây dự án Venezia Beach, HTP đã quyết định mở rộng quy mô dự án thông qua việc
đầu tư mua cổ phần Công ty Cổ phần Cổ kim Mỹ nghệ để nắm quyền phát triển dự án
HODOTA (tổng diện tích 185 ha) và hoạt động sản xuất kinh doanh hàng thủ công mỹ
nghệ.",(No data)
HUT,HNX,Kỹ thuật xây dựng,"Cơ cấu doanh thu (2022)
• Thu phí (81,8%)
• Dịch vụ (7,9%)
• Bất động sản (4,6%)
• Xây dựng (5,6%)
• Khác (0,1%)",(No data),"Dự án có đặt trạm thu phí BOT
• Dự án nâng cấp quốc lộ 10 đoạn qua tỉnh Thái Bình (Huyện Vũ Thư và thị trấn Đông Hưng, tỉnh Thái Bình).
• Dự án nâng cấp quốc lộ 10 đoạn đi qua tỉnh Hải Phòng.
• Dự án nâng cấp quốc lộ 1 Quảng Bình (Huyện Bố Trạch và Quảng Trạch, tỉnh Quảng Bình).
• Dự án thu phí tự động không dùng (Hợp đồng BOO)

Địa điểm đầu tư trên toàn quốc.
Quy mô giai đoạn 1: 44 trạm.

Mảng năng lượng
Nhà máy điện mặt trời Thuận Nam 19 (2019, Ninh Thuận): Công suất 49 MW.

Mảng y tế
Bệnh viện Mắt Hà Nội 2: Cung cấp gần như đầy đủ các dịch vụ về mắt.
• Phẫu thuật khúc xạ (khoảng 45-55% doanh thu).
• Phẫu thuật thay thể thủy tinh nhân tạo (khoảng 15-20% doanh thu).
• Kính (khoảng 10-15% doanh thu).
• Thuốc (khoảng 7-10% doanh thu).
• Khám tổng quát (khoảng 7-10% doanh thu).
Trung tâm mắt kinh EverGreen (Hà Nội): Cơ sở nhãn khoa đầu tiên tại Việt Nam áp dụng tiêu chuẩn ICCE (International Centre for Eyecare Education).","BOT
Tasco hiện đang sở hữu 6 dự án BOT với tổng mức đầu tư đạt 13.577 tỷ đồng, là một trong những nhà đầu tư hạ tầng lớn nhất miền Bắc.
Mảng BOT đạt 568 tỷ đồng, đạt 106% kế hoạch đề ra và tăng trưởng 10% so với năm 2021.

Mảng giao thông thông minh
Đang vận hành 112 trạm

Phân phối ô tô và dịch vụ ô tô
Hệ thống 75 showroom trên toàn quốc

Bảo hiểm
Tháng 12 năm 2022, Tasco đã chính thức có 1 công ty mới là Công ty Bảo hiểm Tasco (TIC) sau khi hoàn tất việc nhận chuyển nhượng 100% vốn góp tại Bảo hiểm Groupama Việt Nam từ Groupama Assurances Mutuelles.","Mục tiêu Chiến lược 2022-2027 mảng xe hơi.
• Doanh thu đạt mốc 84.000 tỷ đồng.
• 120 đại lý với hơn 15% thị phần phân phối ô tô.

Bất động sản
Các dự án mới vẫn đang trong quá trình thực hiện giải phóng mặt bằng và hoàn thiện hồ sơ pháp lý với cơ quan có thẩm quyền.
90% các dự án Bất động sản đang và sắp triển khai của Tasco nằm ở Phía Tây Hà Nội, bao gồm tại 2 quận: Nam Từ Liêm & Cầu Giấy. Tiêu biểu là các dự án:
• Dự án Foresa Villa: Diện tích 38ha; tổng vốn đầu tư 2.850 tỷ đồng.
• Dự án khu đô thị Mỹ Đình - Nam Từ Liêm: Diện tích 49ha; tổng vốn đầu tư 3.500 tỷ đồng.
• Dự án căn hộ cao cấp 48 Trần Duy Hưng: Diện tích 2,8ha. Quy mô: tòa nhà cao 25 tầng, 126 căn hộ chung cư. Tổng vốn đầu tư 500 tỷ đồng.
• Dự án tòa nhà văn phòng Tasco: Diện tích 2,8ha. Quy mô: tòa nhà 25 tầng.
Tổng vốn đầu tu dự kiến 7000 tỷ đồng."
ITA,HOSE,Quản lý và Phát triển bất động sản,(No data),(No data),(No data),(No data),(No data)
ITC,HOSE,Quản lý và Phát triển bất động sản,(No data),(No data),(No data),(No data),(No data)
ITQ,HNX,Kim loại và khai thác,(No data),(No data),(No data),(No data),(No data)
JVC,HOSE,Nhà cung cấp và dịch vụ chăm sóc sức khỏe,"Cơ cấu doanh thu và lợi nhuận gộp theo sản phẩm (2022)
Hàng hóa: Tiết bị y tế
• Doanh thu: 74,4%.
• Lợi nhuận gộp: 63%.
Vận tải theo hợp đồng
Khác
• Doanh thu: 17,7%.
• Lợi nhuận gộp: 30,9%.
• Doanh thu: 7,8%.
• Lợi nhuận gộp: 6,2%.",(No data),(No data),"Mảng kinh doanh thiết bị y tế
Đây là mảng kinh doanh chính của công ty.
Lợi thế là đại lý độc quyền và nhà phân phối chính thức cho các tập đoàn hàng đầu về
thiết bị y tế trên thế giới, JVC là đầu mối duy nhất cung cấp sản phẩm của các hãng
này vào thị trường Việt Nam.
Sản phẩm JVC cung cấp: Các dòng sản phẩm thiết bị y tế công nghệ cao như máy
cộng hưởng từ (MRI), máy chụp cắt lớp vi tính (CT -scanner system), máy X-quang (X-
ray system), máy siêu âm (Ultrasound-scanner system), hệ thống chụp X- quang số,...
được nhập từ các nước Nhật Bản, Hàn Quốc, Singapore.
Kinh doanh vật tư tiêu hao cho các thiết bị y tế
JVC thực hiện cung cấp các vật tư tiêu hao đi kèm phục vụ cho quá trình vận hành,
bảo trì các sản phẩm do công ty cung cấp bao, gồm các loại vật tư, linh kiện cho các
sản phẩm máy chạy thận, phim laser,..
Đây là nguồn doanh thu rất ổn định và luôn có sự tăng trưởng bền vững do các thiết
bị chính hãng do JVC cung cấp chỉ có thể sử dụng các loại vật tư chính hãng đi kèm
và công ty cũng là đầu mối duy nhất cung cấp các vật tư của các hãng này vào thị
trường Việt Nam.
Đầu tư bệnh viện, cho thuê, đầu tư thiết bị Y tế liên doanh liên kết tại
các bệnh viện
Hoạt động liên kết được thực hiện qua hình thức JVC đầu tư máy, các bệnh viện đầu
tư đầu tư địa điểm, hạ tầng giường bệnh... đặt ngay trong khuôn viên các bệnh viện
để tiện cho việc khám chữa bệnh của bệnh nhân.
JVC đã thực hiện liên kết được với hơn 100 bệnh viện hàng đầu trên cả nước tại các
tỉnh thành Hà Nội, Thái Nguyên, Vĩnh Phúc, Hải Phòng, Ninh Bình, Hồ Chí Minh...
Kinh doanh dịch vụ khám bệnh lưu động và các dịch vụ khác
Dịch vụ xe khám lưu động trọn gói nhằm vào các gói khám sức khỏe cho các đối
tượng khách hàng là các Công ty Nhật Bản có nhà máy đặt tại các khu công nghiệp
trên cả nước (80% khách hàng của dịch vụ trên là khách Nhật)",(No data)
HTG,UPCOM,"Hàng dệt, may và phụ kiện","Cơ cấu doanh thu theo ngành (2022)
May (76,55%), Spi (23,45%)

Cơ cấu lợi nhuận gộp theo ngành (2022)
May (82,43%), Sợi (17,57%)

Cơ cấu doanh thu theo thị trường (2022)
Nội địa (7,68%), xuất khẩu (92,32%)","Nguồn nguyên liệu
Mảng vải
• Vải may là nguyên liệu chính (chiếm 80% nguyên liệu) được nhập khẩu theo chỉ định của khách hàng, với tỷ trọng 89% từ thị trường Trung Quốc.
• Nguyên phụ liệu dệt may như khóa kéo, vải lót, nút áo,... chiếm tỷ trọng nhỏ trong cơ cấu nguyên liệu được HTG chủ động mua từ các nhà cung ứng trong và ngoài nước

Mảng sợi
Bông và xã PE là nguyên liệu chính (chiếm 70% chi phí sản xuất sợi) được nhập khẩu chủ yếu từ nước ngoài","May mặc
a nhà máy may mặc có năng lực sản xuất 26.9 triệu sản phẩm năm

Sợi
2 nhà máy sợi có quy mô sản xuất 73,6 nghìn cọc sợi tương đường sản lượng sản xuất 18.2 nghìn năm","May mặc
Các sản phẩm chính như Suits, Blazer, Pant, Uniform... chủ yếu phân phối ở Hà Nội, Đà Nẵng, TP.HCM. Hệ thống phân phối với 4 cửa hàng bán lẻ và 40 đại lý bán hàng trên toàn quốc Sợi
• Nội địa: Sản phẩm chủ lực là thời trang công sở dành cho nam với nhãn hiệu Merriman
• Xuất khẩu: Gia công hàng may mặc theo phương thức CMT và FOB cấp 1. Sản phẩm chủ yếu là các loại áo quần áo thiết kế: sơ mi, áo thun, quần tây, áo Jacket. Một số khách hàng tiêu biểu có thể kể đến như: Haggar, Motives, Kuraray, GDTEX, Toyota, đây là nhóm khách hàng lớn chiếm khoảng 55% doanh thu của HTG
Sản phẩm sợi của HTG có chỉ số độ mịn Ne (20-45) bao gồm các loại sợi cotton chải thô (CD), chải kỳ (CM), sợi cotton pha (TC, TCM, CVC), Polyester. Đây là các loại sợi có chất lượng trung bình, được sản xuất phổ biến ở Việt Nam.
• Xuất khẩu: 35% sợi của HTG được xuất khẩu, trong đó chiếm phần lớn là các thị trường. Thổ Nhĩ Kỳ, Ai Cập, Trung Quốc",No data
IJC,HOSE,Kỹ thuật xây dựng,"Cơ cấu doanh thu và lợi nhuận gộp {2022)
Bản vẻ cầu đường
• Doanh thu: 33,9%.
• Lợi nhuận gộp: 50,4%.

Kinh doanh BĐS
• Doanh thu: 4,1%.
• Lợi nhuận gộp: 6%.

Kinh doanh BDS đầu tư
• Doanh thu: 3,8%.
• Lợi nhuận gộp: 4,5%.

Hoạt động xây dựng
• Doanh thu: 11,6%.
• Lợi nhuận gộp: 0,7%.

Khác: Hợp tác kinh doanh, dịch vụ khác ...
• Doanh thu: 46,5%.
• Lợi nhuận gộp: 38,3%.",No data,"Thu phí giao thông
2 trạm BOT trên Quốc lộ 13 đặt tại địa bàn Thị xã Thuận An và Tp. Thủ Dầu Một, có thời hạn thu phi đến năm 2037.

Hoạt động kinh doanh khác
Khách sạn Becamex Hotel Thủ Dầu Một:
• Địa chỉ: 230 Đại Lộ Bình Dương, P. Phú Hòa, Tp. Thủ Dầu Một, Bình Dương.
• Mô tả: Khách sạn, căn hộ dịch vụ gồm 172 phòng tiêu chuẩn 3 sao.
Khách sạn Becamex Hotel New city:
• Địa chỉ: Lô B2, Đường Hùng Vương, P. Hòa Phú, Tp. Thủ Dầu Một, Bình Dương.
• Mô tả: Khách sạn, căn hộ dịch vụ 323 phòng tiêu chuẩn 4 sao quốc tế.
Công ty TNHH MTV Thương mại Becamex:
• Sở hữu hơn 15.000 m2 diện tích sản cho thuê tại vị trí đắc địa, mặt tiền Đại Lộ Bình Dương, Phú Hòa, Thủ Dầu
Một, Bình Dương.
• Tỷ lệ lấp đầy lên đến 95% đối với khu vực trung tâm thương mại và 80% đối với khu vực văn phòng, Becamex Tower.","Kinh doanh bất động sản
• LC là một trong những nhà phát triển bất động sản dân dụng hàng đầu tại Bình Dương với quỹ đất lớn và các sản phẩm đa dạng trong khác phân khúc từ bình dân, trung bình cho đến cao cấp.
• Với vị thế là đối tác tin cậy trong nhiều năm của Becamex và VSIP, LC luôn được ưu tiên nhận chuyển nhượng các khu đất có vị trí đắc địa tập trung tại khu vực thành phố mới Bình Dương và các khu đất liền kề các khu công nghiệp có quy mô lớn ở khu vực Bình Dương, Bình Phước do hai đơn vị này phát triển.
• Do phát triển song hành với các khu công nghiệp nên LC hoàn toàn không mất thời gian, chi phí để phát triển quỹ đất do đất đã được các đơn vị phát triển khu công nghiệp hoàn thiện về giải phóng mặt bằng cũng như xây dựng hạ tầng.
• Một số dự án tiêu biểu LC đang triển khai Khu tái định cư Hòa Lợi G5, G7, G8, G23, G27 {Tp. Thủ Dầu Một, tỉnh Bình Dương): Diện tích kinh doanh 44.175
m2, tổng mức đầu tư 220,9 tỷ đồng.
• Dự án khu biệt thự cao cấp Sunflower Villa {P. Hỏa Phú, Tp. Thủ Dầu Một, tỉnh Bình Dương): Diện tích kinh doanh 53.517 m2, tổng mức đầu tư 1.181,9 tỷ đồng
• Dự án khu đô thị IJC (P. Hòa Phú, Tp. Thủ Dầu Một, tỉnh Bình Dương): Diện tích kinh doanh 236.961 m2, tổng mức đầu tư 6.568 tỷ đồng.
• Dự án căn hộ cao cấp IJC Aroma (P. Hòa Phú, Tp. Thủ Dầu Một, tỉnh Bình Dương): Diện tích kinh doanh 21.388 m2, tổng mức đầu tư 900,1 tỷ đồng.
• Dự án khu dân cư LÚC Hòa Lợi (F1-F16) (Tp. Thủ Dầu Một, tỉnh Bình Dương): Diện tích kinh doanh 236.961 m2, tổng mức đầu tư 1.470 tỷ đồng.
• Dự án The Green River {P. Thới Hòa, TX. Bến Cát, tỉnh Bình Dương): Diện tích kinh doanh 571.931 m2, tổng mức đầu tư 476,3 tỷ đồng.

Hợp tác kinh doanh (Dự án Becamex City Center}.
• Đây là dự án hợp tác kinh doanh với Tổng Công ty Đầu tư và Phát triển Công nghiệp – CTCP với quy mô diện tích trên 6.000 m2 và có tổng mức đầu tư lên đến 2.500 tỷ VNĐ.
• Dự án Becamex City Center là một khu phức hợp các công trình dịch vụ như văn phòng làm việc, căn hộ cao cấp, trung tâm thương mại, khách sạn 5 sao, khu vui chơi nghỉ dưỡng, Đài đỗ xe, công viên,... và nhiều tiện ích khác

Hoạt động kinh doanh khác
Công ty TNHH MTV Khách sạn Becamex:
• Đối tượng khách hàng chủ yếu là các chuyên gia làm việc tại các khu công nghiệp lẫn cận như VSIP 2, VSIP 2 mở rộng, VSIP 3, Mapletree, Kim Huy,...
• Tỷ lệ lấp đầy từ 65-85%.
Công ty TNHH MTV Thương mại Becamex:
• Kinh doanh văn phòng cho thuê và kinh doanh trung tâm thương mại tại tháp văn phòng Becamex Tower.
• Becamex Tower đang là khu tập trung nhiều doanh nghiệp tại khu vực Thủ Dầu Một.",No data
